SABALENKA, Aryna
MASAROVA, Rebeka SUI
PARRIZAS DIAZ, Nuria ESP
KUDERMETOVA, Polina
JACQUEMOT, Elsa FRA
BOUZKOVA, Marie CZE
MARINO, Rebecca CAN
FERNANDEZ, Leylah CAN
MERTENS, Elise BEL
AHN, Alyssa USA
SUN, Lulu NZL
OSORIO, Camila COL
BUCSA, Cristina ESP
LIU, Claire USA
EALA, Alexandra PHI
TAUSON, Clara DEN
RYBAKINA, Elena KAZ
PAREJA, Julieta USA
BRONZETTI, Lucia ITA
VALENTOVA, Tereza CZE
RADUCANU, Emma GBR
SHIBAHARA, Ena JPN
TJEN, Janice INA
KUDERMETOVA, Veronika
KESSLER, McCartney USA
LINETTE, Magda POL
SELEKHMETEVA, Oksana
VONDROUSOVA, Marketa CZE
SASNOVICH, Aliaksandra
JOVIC, Iva USA
AIAVA, Destanee AUS
PAOLINI, Jasmine ITA
PEGULA, Jessica USA
SHERIF, Mayar EGY
STARODUBTSEVA, Yuliia UKR
BLINKOVA, Anna
AZARENKA, Victoria
INOUE, Hina USA
PAVLYUCHENKOVA, Anastasia
YASTREMSKA, Dayana UKR
SAMSONOVA, Liudmila
YUAN, Yue CHN
JEANJEAN, Leolia FRA
HON, Priscilla AUS
LI, Ann USA
SRAMKOVA, Rebecca SVK
ZHANG, Shuai CHN
BENCIC, Belinda SUI
NAVARRO, Emma USA
WANG, Yafan CHN
TEICHMANN, Jil SUI
MCNALLY, Caty USA
UCHIJIMA, Moyuka JPN
DANILOVIC, Olga SRB
KREJCIKOVA, Barbora CZE
MBOKO, Victoria CAN
OSTAPENKO, Jelena LAT
WANG, Xiyu CHN
TOWNSEND, Taylor USA
RUZIC, Antonia CRO
POTAPOVA, Anastasia
ZHU, Lin CHN
PARKS, Alycia USA
ANDREEVA, Mirra
KEYS, Madison USA
ZARAZUA, Renata MEX
KVITOVA, Petra CZE
PARRY, Diane FRA
VOLYNETS, Katie USA
SONMEZ, Zeynep TUR
BOULTER, Katie GBR
KOSTYUK, Marta UKR
NOSKOVA, Linda CZE
GALFI, Dalma HUN
JONES, Francesca GBR
LYS, Eva GER
CIRSTEA, Sorana ROU
SIERRA, Solana ARG
WILLIAMS, Venus USA
MUCHOVA, Karolina CZE
KASATKINA, Daria AUS
RUSE, Elena-Gabriela ROU
RAKHIMOVA, Kamilla
GARCIA, Caroline FRA
BAPTISTE, Hailey USA
SINIAKOVA, Katerina CZE
MINNEN, Greet BEL
OSAKA, Naomi JPN
FRECH, Magdalena POL
GIBSON, Talia AUS
SEMENISTAJA, Darja LAT
STEARNS, Peyton USA
VEKIC, Donna CRO
BOUZAS MANEIRO, Jessica ESP
TOMLJANOVIC, Ajla AUS
GAUFF, Coco USA
ANISIMOVA, Amanda USA
BIRRELL, Kimberly AUS
JIMENEZ KASINTSEVA, Victoria AND
JOINT, Maya AUS
COLLINS, Danielle USA
CRISTIAN, Jaqueline ROU
KRUEGER, Ashlyn USA
KENIN, Sofia USA
HADDAD MAIA, Beatriz BRA
KARTAL, Sonay GBR
BOISSON, Lois FRA
GOLUBIC, Viktorija SUI
SAKKARI, Maria GRE
MARIA, Tatjana GER
BONDAR, Anna HUN
SVITOLINA, Elina UKR
ALEXANDROVA, Ekaterina
SEVASTOVA, Anastasija LAT
DOLEHIDE, Caroline USA
WANG, Xinyu CHN
ZAKHAROVA, Anastasia
AVANESYAN, Elina ARM
SIEGEMUND, Laura GER
SHNAIDER, Diana
KALINSKAYA, Anna
NGOUNOUE, Clervie USA
PUTINTSEVA, Yulia KAZ
COCCIARETTO, Elisabetta ITA
LAMENS, Suzan NED
GLOZMAN, Valerie USA
ARANGO, Emiliana COL
SWIATEK, Iga POL
